,Doctor_Names,Specialization,Experience,Hospital_Name,Area,City,Consultation_Fees,Doctor_recommondations
188,Dr. Mohita Goyal,Gynecologist/Obstetrician,23 ,Mohita Poly Clinic,Viman Nagar,Pune,600,95 
189,Dr. Manisha Munemane,Gynecologist/Obstetrician,28 ,Vatsalya Women's World,Wakad,Pune,600,94 
190,Dr. Nikhil Mahadar,Gynecologist/Obstetrician,16 ,Srushti Hospital,Wakad,Pune,400,99 
191,Dr. Meghana Giri,Gynecologist/Obstetrician,18 ,GK Women's Care Clinic,Viman Nagar,Pune,400,95 
192,Dr. Bharati Dhorepatil,Gynecologist/Obstetrician,40 ,Shree Hospital,Nagar Road,Pune,600,89 
193,Dr. Jyoti Dekate,Gynecologist/Obstetrician,19 ,Rainmist Healthcare,Wakad,Pune,600,96 
194,Dr. Jagrati Laad,Gynecologist/Obstetrician,19 ,Wombs Fertility and Reproductive Health Clinic,Baner,Pune,600,93 
195,Dr. Vaishali R Chavan,Gynecologist/Obstetrician,31 ,Saanvi Gynaecology And Maternity Center,Wanowrie,Pune,500,92 
196,Dr. Vaishali Umap,Gynecologist/Obstetrician,25 ,Lotus Clinic,Wakad,Pune,500,81 
197,Dr. Lavina Batra,Gynecologist/Obstetrician,18 ,Life Care Clinic,Viman Nagar,Pune,400,81 
200,Dr. Ruchi Tandon,Gynecologist/Obstetrician,18 ,SCI International Hospital,Greater Kailash Part 1,Delhi,1400,100 
201,Dr. Parul Katiyar,Gynecologist/Obstetrician,20 ,ART Fertility Clinics,Defence Colony,Delhi,0,95 
202,Dr. Akta Bajaj,Gynecologist/Obstetrician,26 ,Aksh Clinic,Paschim Vihar,Delhi,700,96 
203,Dr. Meghana A,Gynecologist/Obstetrician,15 ,Matritva Women's Clinic,Vasant Kunj,Delhi,650,99 
204,Dr. Anita K Jain,Gynecologist/Obstetrician,24 ,Dr. Anita's Mother And Child Clinic,Paschim Vihar,Delhi,600,98 
205,Dr. Shilpa Dhameja,Gynecologist/Obstetrician,21 ,Dr Shilpa Dhameja's Clinic,Vasant Kunj,Delhi,800,98 
206,Dr. Madhumita Patel,Gynecologist/Obstetrician,17 ,City Speciality Clinic,Chattarpur,Delhi,700,100 
207,Dr. Madhu Ahuja,Gynecologist/Obstetrician,39 ,Cloudnine Hospitals,Patparganj,Delhi,1100,93 
208,Dr. Dharna Gupta,Gynecologist/Obstetrician,14 ,Women Care Clinic,Dwarka Sector 22,Delhi,700,96 
209,Dr. Ruchi Malhotra,Gynecologist/Obstetrician,31 ,Sehgal Nursing Home,Kingsway Camp,Delhi,500,94 
212,Dr. V.Shirisha,Dermatologist,17 ,Shirisha Skin & Hair Clinic,Kondapur,Hyderabad,650,93 
213,Dr. Soumya Podduturi,Dermatologist,13 ,Oliva Skin & Hair Clinic,Secunderabad,Hyderabad,600,96 
214,Dr. T N Rekha Singh,Dermatologist,19 ,Oliva Skin & Hair Clinic,Secunderabad,Hyderabad,600,99 
215,Dr. Mallikarjun,Dermatologist,10 ,DIVI Speciality Clinics,Chanda Nagar,Hyderabad,400,98 
216,Dr. Y Nikhil Kumar Reddy,Dermatologist,12 ,IRA Clinic,Suchitra Circle,Hyderabad,500,93 
217,Dr. Swapna Kunduru,Dermatologist,21 ,Continental Hospitals,Gachibowli,Hyderabad,800,90 
218,Dr. D Subhash Reddy,Dermatologist,24 ,Balaji Skin and Hair Clinic,Habsiguda,Hyderabad,500,59 
219,Dr. K.Srilakshmi,Dermatologist,18 ,Continental Hospitals,Gachibowli,Hyderabad,800,90 
220,Dr. Radha Shah,Dermatologist,28 ,Apollo Hospitals,Jubilee Hills,Hyderabad,1000,86 
221,Dr. Anudeep,Dermatologist,10 ,Neo Asian Clinics,Kondapur,Hyderabad,500,99 
224,Dr. Deepak Devakar,Dermatologist,19 ,Dermasculpt Hair Transplant and Skin Clinic,JP Nagar,Bangalore,600,98 
225,Dr. K C Dharam Kumar,Dermatologist,9 ,Epiderma Skin and Hair Clinic,JP Nagar,Bangalore,750,99 
226,Dr. Kisalay Saurav,Dermatologist,20 ,Manipal Hospital,Hebbal,Bangalore,1090,93 
227,Dr. Radhika S R,Dermatologist,8 ,Skin Xperts Super Speciality Skin Hair and Laser Clinics,Mahalakshmi Layout,Bangalore,600,96 
228,Dr. Eswari.L,Dermatologist,22 ,Skin Xperts Super Speciality Skin Hair and Laser Clinics,Jayanagar 4 Block,Bangalore,600,100 
229,Dr. Neelima Sharma,Dermatologist,24 ,Manipal Hospital,Jayanagar 9 Block,Bangalore,650,95 
230,Dr. Rajdeep,Dermatologist,14 ,Chirag Hospital,JP Nagar 2 Phase,Bangalore,750,96 
231,Dr. Parthasarathi Dutta Roy,Dermatologist,20 ,Dr. Partha Sarathi's Asian Hair And Skin Hospitals,MG Road,Bangalore,700,89 
232,Dr. Jaya Sharma,Dermatologist,21 ,Specialist Hospital,Kalyan Nagar,Bangalore,650,89 
233,Dr. Juvita Rasquinha,Dermatologist,18 ,"Dr. Juvita's Aesthetics Skin, Hair and Cosmetology Clinic",Indiranagar,Bangalore,500,91 
236,Dr. Kiran Katkar,Dermatologist,38 ,Dr Kiran Katkar's Dermis Skin Wellness Clinic Lase,Dadar West,Mumbai,1200,93 
237,Dr. Sonia Tekchandani,Dermatologist,37 ,Tender Skin International,Malad West,Mumbai,2000,93 
238,Dr. Vikas Halwai,Dermatologist,14 ,Derma Dent Aesthetic clinic,Chinchpokli,Mumbai,800,91 
239,Dr. Mohd Asif,Dermatologist,11 ,Cara Hair Transplant and Aesthetic Center,Santacruz West,Mumbai,1000,100 
240,Dr. Minal M Thamke Pawar,Dermatologist,17 ,Wellness Clinic,Mulund East,Mumbai,800,99 
241,Dr. Ujjvala Jadhav,Dermatologist,24 ,The Skin Clinic,Goregaon East,Mumbai,1000,93 
242,Dr. Kaleem Khan,Dermatologist,14 ,Surya Hospitals,Santacruz West,Mumbai,1500,97 
243,Dr. Smriti Naswa Singh,Dermatologist,14 ,Fortis Hospital,Mulund West,Mumbai,1500,100 
244,Dr. Neha V Shah,Dermatologist,14 ,Skin Vogue Clinic,Ghatkopar East,Mumbai,1000,99 
245,Dr. Sujit Shanshanwal,Dermatologist,14 ,SkinAmour Clinic,Santacruz West,Mumbai,1000,99 
248,Dr. Sowmya Dogiparthi,Dermatologist,14 ,Apollo Spectra Hospital,Alwarpet,Chennai,1000,97 
249,Dr. Snehalatha,Dermatologist,18 ,Nila Skin Care Clinic,Tambaram East,Chennai,750,92 
250,Dr. R. Sowmiya,Dermatologist,21 ,Dr. Vijay's Hospital,Mogappair East,Chennai,300,97 
251,Dr. Subhashini Mohan,Dermatologist,17 ,Apollo Spectra Hospital,Alwarpet,Chennai,1000,96 
252,Dr. Nidhi Singh,Dermatologist,18 ,Gleneagles Global Health City,Perumbakkam,Chennai,800,100 
253,Dr. Col Rajagopal A,Dermatologist,61 ,Apollo Hospital,Greams Road,Chennai,1000,100 
254,Dr. B.Sindhu Raaghavi,Dermatologist,13 ,Carves Skin Clinic,Velachery,Chennai,700,98 
255,Dr. Aarthi Lakshmanan,Dermatologist,20 ,Aarthi Skin Care Clinic,MRC Nagar,Chennai,750,93 
256,Dr. Ganga Ravikumar,Dermatologist,33 ,Dermis Skin & Hair Clinic,Adyar,Chennai,700,96 
257,Dr. Rajkumar Kannan,Dermatologist,17 ,Fortis Malar Hospital,Adyar,Chennai,500,100 
260,Dr. Sonal Chavan,Dermatologist,17 ,Dr. Sonnal Chavaan Aesthetic Clinic,Pimple Saudagar,Pune,700,90 
261,Dr. L K Desai,Dermatologist,28 ,"Dr. Desai Dermacare- Skin, Hair & Laser Clinic",Sopan Baug,Pune,500,94 
262,Dr. Sumit Parsewar,Dermatologist,10 ,Neo Plant Advance Hair And Skin Clinic,Baner,Pune,600,97 
263,Dr. Nitin Jain,Dermatologist,21 ,Skin And Surgery International & Asia Institute Of Hair Transplant,Kothrud,Pune,700,97 
264,Dr. Tejaswini Salunke,Dermatologist,14 ,Apollo Clinic,Wanowrie,Pune,600,100 
265,Dr. Rajshree Patil,Dermatologist,25 ,Kimaya Skin Clinic,Aundh,Pune,500,90 
266,Dr. Vijay Nagdev,Dermatologist,13 ,The Skin Doctors,Pimpri-Chinchwad,Pune,700,93 
267,Dr. K R Chandvania,Dermatologist,44 ,Pallavi Laser Centre,Pimpri-Chinchwad,Pune,900,83 
268,Dr. Pallavi Ahire Shelke,Dermatologist,16 ,SkinEthics Skin Clinic & Dermatosurgery Center,Baner,Pune,600,97 
269,Dr. Pradeep Kumari,Dermatologist,20 ,Skin And Surgery International & Asia Institute Of Hair Transplant,Viman Nagar,Pune,700,96 
271,Dr. Vijay Singhal,Dermatologist,18 ,Zenith Skin Hair & Dental Centre,Punjabi Bagh,Delhi,800,94 
